Kanji,Furigana,Meaning,Level
進歩,しんぽ,"progress,development",N3
親友,しんゆう,"close friend,buddy",N3
信用,しんよう,"confidence,dependence,credit,faith",N3
信頼,しんらい,"reliance,trust,confidence",N3
心理,しんり,mentality,N3
人類,じんるい,"mankind,humanity",N3
巣,す,"nest,rookery,breeding place,beehive,cobweb",N3
図,ず,"figure (e.g. Fig 1),drawing,picture,illustration",N3
水準,すいじゅん,"(1) water level,(2) level,standard",N3
推薦,すいせん,recommendation,N3
,スイッチ,switch,N3
随分,ずいぶん,extremely,N3
睡眠,すいみん,sleep,N3
数,すう,"number,figure",N3
数字,すうじ,"numeral,figure",N3
,スープ,(Western) soup,N3
末,すえ,"the end of,powder",N3
姿,すがた,"figure,shape,appearance",N3
,スキー,skiing,N3
空く,すく,"(1) to open,to become empty,(2) to be less crowded",N3
救う,すくう,"to rescue from,to help out of",N3
優れる,すぐれる,"to surpass,to outstrip,to excel",N3
,スケート,"skate(s),skating",N3
,すごい,"terrible,dreadful,terrific,amazing,great",N3
少しも,すこしも,"anything of,not one bit",N3
過ごす,すごす,"to pass,to spend,to go through,to tide over",N3
筋,すじ,"muscle,string,line",N3
進める,すすめる,"to advance,to promote,to hasten",N3
勧める,すすめる,"to recommend,to advise,to encourage,to offer (wine)",N3
,スター,star,N3
,スタイル,style,N3
,スタンド,stand,N3
頭痛,ずつう,headache,N3
,ずっと,"consecutively,throughout,a lot",N3
,すてき,"lovely,dreamy,beautiful,great",N3
既に,すでに,"already,too late",N3
,すなわち,"that is,namely,i.e.",N3
素晴らしい,すばらしい,"wonderful,splendid,magnificent",N3
,スピーチ,speech,N3
全て,すべて,"all,the whole,entirely,in general,wholly",N3
済ませる,すませる,to be finished,N3
角,すみ,horn,N3
すみません,（感）,"sorry,excuse me",N3
為る,する,"to change,to be of use,to reach to",N3
すると,すると,"thereupon,hereupon",N3
鋭い,するどい,"pointed,sharp",N3
背,せい,"height,stature",N3
正,せい,"(logical) true,regular",N3
生,せい,"(1) draft (beer),(2) raw,unprocessed",N3
性,せい,"sex,gender",N3
所為,せい,"cause,reason,fault",N3
税,ぜい,,N3
性格,せいかく,"character,personality",N3
正確,せいかく,"accurate,punctuality,exactness,authenticity,veracity",N3
世紀,せいき,"century,era",N3
請求,せいきゅう,"claim,demand,application,request",N3
税金,ぜいきん,"tax,duty",N3
清潔,せいけつ,clean,N3
制限,せいげん,"restriction,restraint,limitation",N3
成功,せいこう,"success,hit",N3
生産,せいさん,"production,manufacture",N3
正式,せいしき,"due form,official,formality",N3
精神,せいしん,"mind,soul,heart,spirit,intention",N3
成人,せいじん,adult,N3
精々,せいぜい,"at the most,at best,to the utmost,as much (far) as possible",N3
成績,せいせき,"results,record",N3
製造,せいぞう,"manufacture,production",N3
贅沢,ぜいたく,"luxury,extravagance",N3
成長,せいちょう,"growth,grow to adulthood",N3
制度,せいど,"system,institution,organization",N3
青年,せいねん,"youth,young man",N3
製品,せいひん,"manufactured goods,finished goods",N3
政府,せいふ,"government,administration",N3
生物,せいぶつ,raw food,N3
生命,せいめい,"life,existence",N3
整理,せいり,"sorting,arrangement,adjustment,regulation",N3
咳,せき,cough,N3
石炭,せきたん,coal,N3
責任,せきにん,"duty,responsibility",N3
石油,せきゆ,"oil,petroleum,kerosene",N3
世間,せけん,"world,society",N3
説,せつ,theory,N3
積極的,せっきょくてき,"positive,active,proactive",N3
設計,せっけい,"plan,design",N3
絶対,ぜったい,"absolute,unconditional,absoluteness",N3
,セット,set,N3
設備,せつび,"equipment,device,facilities,installation",N3
絶滅,ぜつめつ,"destruction,extinction",N3
節約,せつやく,"economising,saving",N3
是非,ぜひ,"certainly,without fail",N3
責める,せめる,"to condemn,to blame,to criticize",N3
世話,せわ,"looking after,help,aid,assistance",N3
善,ぜん,"good,goodness,right,virtue",N3
全,ぜん,"all,whole,entire,complete,overall,pan",N3
全員,ぜんいん,"all members (unanimity),all hands,the whole crew",N3
専攻,せんこう,"major subject,special study",N3
全国,ぜんこく,"country-wide,nation-wide,whole country,national",N3
先日,せんじつ,"the other day,a few days ago",N3
前者,ぜんしゃ,the former,N3
選手,せんしゅ,"(1) player (in game),(2) team",N3
前進,ぜんしん,"advance,drive,progress",N3
全然,ぜんぜん,"(1) wholly,entirely,completely,(2) not at all (with neg. verb)",N3
,センター,a center,N3
全体,ぜんたい,"whole,entirety,whatever (is the matter)",N3
選択,せんたく,"selection,choice",N3
そう,そう,so,N3
象,ぞう,elephant,N3
騒音,そうおん,noise,N3
増加,ぞうか,"increase,addition",N3
操作,そうさ,"operation,management,processing",N3
掃除,そうじ,"cleaning,sweeping",N3
想像,そうぞう,"imagination,guess",N3
相続,そうぞく,"succession,inheritance",N3
相談,そうだん,"consultation,discussion",N3
装置,そうち,"equipment,installation,apparatus",N3
,あ,Ah,N4
,ああ,like that,N4
,あいさつ・する,to greet,N4
間,あいだ,a space,N4
合う,あう,to match,N4
,あかちゃん,infant,N4
上る,あがる,to rise,N4
赤ん坊,あかんぼう,baby,N4
空く,あく,"to open, to become empty",N4
,アクセサリー,accessory,N4
,あげる,to give,N4
浅い,あさい,"shallow,superficial",N4
味,あじ,flavour,N4
,アジア,Asia,N4
明日,あす,tomorrow,N4
遊び,あそび,play,N4
集る,あつまる,to gather,N4
集める,あつめる,to collect something,N4
,アナウンサー,announcer,N4
,アフリカ,Africa,N4
,アメリカ,America,N4
謝る,あやまる,to apologize,N4
,アルコール,alcohol,N4
,アルバイト,part-time job,N4
安心,あんしん,relief,N4
安全,あんぜん,safety,N4
,あんな,such,N4
案内,あんない・する,to guide,N4
以下,いか,less than,N4
以外,いがい,with the exception of,N4
医学,いがく,medical science,N4
生きる,いきる,to live,N4
意見,いけん,opinion,N4
石,いし,stone,N4
,いじめる,to tease,N4
以上,いじょう,"more than,this is all",N4
急ぐ,いそぐ,to hurry,N4
致す,いたす,(humble) to do,N4
,いただく,(humble) to receive,N4
一度,いちど,once,N4
一生懸命,いっしょうけんめい,with utmost effort,N4
,いっぱい,full,N4
糸,いと,thread,N4
以内,いない,within,N4
田舎,いなか,countryside,N4
祈る,いのる,to pray,N4
,いらっしゃる,"(respectful) to be,to come or to go",N4
植える,うえる,"to plant,to grow",N4
,うかがう,to visit,N4
受付,うけつけ,receipt,N4
受ける,うける,to take a lesson or test,N4
動く,うごく,to move,N4
,うそ,a lie,N4
,うち,within,N4
打つ,うつ,to hit,N4
美しい,うつくしい,beautiful,N4
写す,うつす,to copy or photograph,N4
移る,うつる,to move house or transfer,N4
腕,うで,arm,N4
,うまい,delicious,N4
裏,うら,reverse side,N4
売り場,うりば,place where things are sold,N4
,うれしい,glad,N4
,うん,(informal) yes,N4
運転,うんてん・する,to drive,N4
運転手,うんてんしゅ,driver,N4
運動,うんどう・する,to exercise,N4
,エスカレーター,escalator,N4
枝,えだ,"branch, twig",N4
選ぶ,えらぶ,to choose,N4
遠慮,えんりょ・する,"to be reserved, to be restrained",N4
,おいでになる,(respectful) to be,N4
お祝い,おいわい,congratulation,N4
,オートバイ,motorcycle,N4
,おかげ,owing to,N4
,おかしい,strange or funny,N4
億,おく,one hundred million,N4
屋上,おくじょう,rooftop,N4
贈り物,おくりもの,gift,N4
送る,おくる,to send,N4
遅れる,おくれる,to be late,N4
起す,おこす,to wake,N4
行う,おこなう,to do,N4
怒る,おこる,"to get angry,to be angry",N4
押し入れ,おしいれ,closet,N4
お嬢さん,おじょうさん,young lady,N4
お宅,おたく,(polite) your house,N4
落る,おちる,to fall or drop,N4
,おっしゃる,(respectful) to say,N4
夫,おっと,husband,N4
,おつり,"change from purchase, balance",N4
音,おと,"sound,note",N4
落す,おとす,to drop,N4
踊り,おどり,a dance,N4
踊る,おどる,to dance,N4
驚く,おどろく,to be surprised,N4
お祭り,おまつり,festival,N4
お見舞い,おみまい,"calling on someone who is ill,enquiry",N4
お土産,おみやげ,souvenir,N4
思い出す,おもいだす,to remember,N4
思う,おもう,"to think,to feel",N4
,おもちゃ,toy,N4
表,おもて,the front,N4
親,おや,parents,N4
下りる,おりる,to get off,N4
折る,おる,to break or to fold,N4
お礼,おれい,expression of gratitude,N4
折れる,おれる,to break or be folded,N4
終わり,おわり,the end,N4
,カーテン,curtain,N4
海岸,かいがん,coast,N4
会議,かいぎ,meeting,N4
会議室,かいぎしつ,meeting room,N4
会場,かいじょう,assembly hall or meeting place,N4
会話,かいわ,conversation,N4
帰り,かえり,return,N4
変える,かえる,to change,N4
科学,かがく,science,N4
鏡,かがみ,mirror,N4
掛ける,かける,to hang something,N4
飾る,かざる,to decorate,N4
火事,かじ,fire,N4
,ガス,petrol,N4
,ガソリン,petrol,N4
,ガソリンスタンド,petrol station,N4
堅/硬/固い,かたい,hard,N4
形,かたち,shape,N4
片付ける,かたづける,to tidy up,N4
課長,かちょう,section manager,N4
勝つ,かつ,to win,N4
,かっこう,appearance,N4
家内,かない,housewife,N4
悲しい,かなしい,sad,N4
必ず,かならず,"certainly,necessarily",N4
お・金持ち,かねもち/おかねもち,rich man,N4
彼女,かのじょ,"she,girlfriend",N4
壁,かべ,wall,N4
,かまう,to mind,N4
髪,かみ,hair,N4
噛む,かむ,"to bite,to chew",N4
通う,かよう,to commute,N4
,ガラス,a glass pane,N4
彼,かれ,"he,boyfriend",N4
彼ら,かれら,they,N4
乾く,かわく,to get dry,N4
代わり,かわり,"substitute,alternate",N4
変わる,かわる,to change,N4
考える,かんがえる,to consider,N4
関係,かんけい,relationship,N4
看護婦,かんごふ,female nurse,N4
簡単,かんたん,simple,N4
気,き,"spirit,mood",N4
機会,きかい,opportunity,N4
危険,きけん,danger,N4
聞こえる,きこえる,to be heard,N4
汽車,きしゃ,steam train,N4
技術,ぎじゅつ,"art,technology,skill",N4
季節,きせつ,season,N4
規則,きそく,regulations,N4
,きっと,surely,N4
絹,きぬ,silk,N4
厳しい,きびしい,strict,N4
気分,きぶん,mood,N4
決る,きまる,to be decided,N4
君,きみ,(informal) You (used by men towards women),N4
決める,きめる,to decide,N4
気持ち,きもち,"feeling,mood",N4
着物,きもの,kimono,N4
客,きゃく,"guest,customer",N4
急,きゅう,"urgent, steep",N4
急行,きゅうこう,"speedy, express",N4
教育,きょういく,education,N4
教会,きょうかい,church,N4
競争,きょうそう,competition,N4
興味,きょうみ,an interest,N4
近所,きんじょ,neighbourhood,N4
具合,ぐあい,"condition,health",N4
空気,くうき,"air,atmosphere",N4
空港,くうこう,airport,N4
草,くさ,grass,N4
,くださる,(respectful) to give,N4
首,くび,neck,N4
雲,くも,cloud,N4
比べる,くらべる,to compare,N4
,くれる,to give,N4
暮れる,くれる,"to get dark,to come to an end",N4
君,くん,suffix for familiar young male,N4
毛,け,hair or fur,N4
計画,けいかく・する,to plan,N4
経験,けいけん・する,to experience,N4
経済,けいざい,"finance,economy",N4
警察,けいさつ,police,N4
,ケーキ,cake,N4
,けが・する,to injure,N4
景色,けしき,"scene,landscape",N4
消しゴム,けしゴム,eraser,N4
下宿,げしゅく,lodging,N4
決して,けっして,never,N4
,けれど/けれども,however,N4
原因,げんいん,"cause,source",N4
,けんか・する,to quarrel,N4
研究,けんきゅう,research,N4
研究室,けんきゅうしつ,"study room,laboratory",N4
見物,けんぶつ,sightseeing,N4
子,こ,child,N4
,こう,this way,N4
郊外,こうがい,outskirts,N4
講義,こうぎ,lecture,N4
工業,こうぎょう,the manufacturing industry,N4
高校,こうこう,high school,N4
高校生,こうこうせい,high school student,N4
工場,こうじょう,factory,N4
校長,こうちょう,headmaster,N4
交通,こうつう,"traffic,transportation",N4
講堂,こうどう,auditorium,N4
高等学校,こうとうがっこう,high school,N4
公務員,こうむいん,government worker,N4
国際,こくさい,international,N4
心,こころ,"core,heart",N4
御主人,ごしゅじん,(honorable) your husband,N4
故障,こしょう・する,to break-down,N4
ご存じ,ごぞんじ,"knowing,acquaintance",N4
答,こたえ,response,N4
,ごちそう,a feast,N4
,こと,"thing,matter",N4
小鳥,ことり,small bird,N4
,このあいだ,"the other day,recently",N4
,このごろ,"these days,nowadays",N4
細かい,こまかい,"small, fine",N4
,ごみ,rubbish,N4
込む,こむ,to be crowded,N4
米,こめ,uncooked rice,N4
,ごらんになる,(respectful) to see,N4
,これから,after this,N4
怖い,こわい,frightening,N4
壊す,こわす,to break,N4
壊れる,こわれる,to be broken,N4
,コンサート,concert,N4
今度,こんど,"now,next time",N4
,コンピュータ/コンピューター,computer,N4
今夜,こんや,tonight,N4
最近,さいきん,"latest,nowadays",N4
最後,さいご,"last,end",N4
最初,さいしょ,"beginning,first",N4
坂,さか,"slope,hill",N4
探す,さがす,to look for,N4
下る,さがる,"to get down,to descend",N4
盛ん,さかん,"popularity,prosperous",N4
下げる,さげる,"to hang,to lower,to move back",N4
差し上げる,さしあげる,(polite) to give,N4
,さっき,some time ago,N4
寂しい,さびしい,lonely,N4
さ来月,さらいげつ,the month after next,N4
さ来週,さらいしゅう,the week after next,N4
,サラダ,salad,N4
騒ぐ,さわぐ,"to make noise,to be excited",N4
触る,さわる,to touch,N4
産業,さんぎょう,industry,N4
,サンダル,sandal,N4
,サンドイッチ,sandwich,N4
残念,ざんねん,disappointment,N4
市,し,city,N4
字,じ,character,N4
試合,しあい,"match,game",N4
仕方,しかた,method,N4
,しかる,a particular,N4
試験,しけん,examination,N4
事故,じこ,accident,N4
地震,じしん,earthquake,N4
時代,じだい,era,N4
下着,したぎ,underwear,N4
支度,したく・する,to prepare,N4
,しっかり,"firmly,steadily",N4
失敗,しっぱい,"failure,mistake",N4
辞典,じてん,dictionary,N4
品物,しなもの,goods,N4
,しばらく,little while,N4
島,しま,island,N4
市民,しみん,citizen,N4
事務所,じむしょ,office,N4
社会,しゃかい,"society,public",N4
社長,しゃちょう,company president,N4
,じゃま,"hindrance,intrusion",N4
,ジャム,jam,N4
自由,じゆう,freedom,N4
習慣,しゅうかん,"custom,manners",N4
住所,じゅうしょ,"an address,a residence",N4
柔道,じゅうどう,judo,N4
十分,じゅうぶん,enough,N4
出席,しゅっせき・する,to attend,N4
出発,しゅっぱつ・する,to depart,N4
趣味,しゅみ,hobby,N4
準備,じゅんび・する,to prepare,N4
紹介,しょうかい,introduction,N4
小学校,しょうがっこう,elementary school,N4
小説,しょうせつ,novel,N4
招待,しょうたい・する,to invite,N4
承知,しょうち・する,to consent,N4
将来,しょうらい,"future,prospects",N4
食事,しょくじ・する,to have a meal,N4
食料品,しょくりょうひん,groceries,N4
女性,じょせい,woman,N4
知らせる,しらせる,to notify,N4
調べる,しらべる,to investigate,N4
人口,じんこう,population,N4
神社,じんじゃ,Shinto shrine,N4
親切,しんせつ,kindness,N4
心配,しんぱい・する,to worry,N4
新聞社,しんぶんしゃ,newspaper company,N4
水泳,すいえい,swimming,N4
水道,すいどう,water supply,N4
,ずいぶん,extremely,N4
数学,すうがく,"mathematics,arithmetic",N4
,スーツ,suit,N4
,スーツケース,suitcase,N4
過ぎる,すぎる,to exceed,N4
,すく,to become empty,N4
,スクリーン,screen,N4
凄い,すごい,terrific,N4
進む,すすむ,to make progress,N4
,すっかり,completely,N4
,すっと,"straight,all of a sudden",N4
,ステーキ,steak,N4
捨てる,すてる,to throw away,N4
,ステレオ,stereo,N4
砂,すな,sand,N4
,すばらしい,wonderful,N4
滑る,すべる,"to slide,to slip",N4
隅,すみ,"corner,nook",N4
済む,すむ,to finish,N4
,すり,pickpocket,N4
,すると,then,N4
生活,せいかつ・する,to live,N4
生産,せいさん・する,to produce,N4
政治,せいじ,"politics,government",N4
西洋,せいよう,western countries,N4
世界,せかい,the world,N4
席,せき,seat,N4
説明,せつめい,explanation,N4
背中,せなか,back of the body,N4
,ぜひ,without fail,N4
世話,せわ・する,to look after,N4
線,せん,line,N4
,ぜんぜん,not entirely (used in a negative sentence),N4
戦争,せんそう,war,N4
先輩,せんぱい,senior,N4
,そう,really,N4
相談,そうだん・する,to discuss,N4
育てる,そだてる,"to rear,to bring up",N4
卒業,そつぎょう,graduation,N4
祖父,そふ,grandfather,N4
,ソフト,soft,N4
祖母,そぼ,grandmother,N4
,それで,because of that,N4
,それに,moreover,N4
,それほど,to that extent,N4
,そろそろ,"gradually,soon",N4
,そんな,that sort of,N4
,そんなに,"so much,like that",N4
退院,たいいん・する,to leave hospital,N4
大学生,だいがくせい,university student,N4
大事,だいじ,"important,valuable,serious matter",N4
大体,だいたい,generally,N4
,たいてい,usually,N4
,タイプ,"type,style",N4
大分,だいぶ,greatly,N4
台風,たいふう,typhoon,N4
倒れる,たおれる,to break down,N4
,だから,"so,therefore",N4
確か,たしか,definite,N4
足す,たす,to add a number,N4
訪ねる,たずねる,to visit,N4
尋ねる,たずねる,to ask,N4
正しい,ただしい,correct,N4
畳,たたみ,Japanese straw mat,N4
立てる,たてる,to stand something up,N4
建てる,たてる,to build,N4
例えば,たとえば,for example,N4
棚,たな,shelves,N4
楽しみ,たのしみ,joy,N4
楽む,たのしむ,to enjoy oneself,N4
,たまに,occasionally,N4
為,ため,in order to,N4
,だめ,no good,N4
足りる,たりる,to be enough,N4
男性,だんせい,male,N4
暖房,だんぼう,heating,N4
血,ち,blood,N4
,チェック・する,to check,N4
力,ちから,"strength,power",N4
,ちっとも,not at all (used with a negative verb),N4
,ちゃん,suffix for familiar female person,N4
注意,ちゅうい,caution,N4
中学校,ちゅうがっこう,"junior high school,middle school",N4
注射,ちゅうしゃ,injection,N4
駐車場,ちゅうしゃじょう,parking lot,N4
地理,ちり,geography,N4
捕まえる,つかまえる,to seize,N4
,つき,moon,N4
付く,つく,to be attached,N4
漬ける,つける,"to soak,to pickle",N4
都合,つごう,"circumstances,convenience",N4
伝える,つたえる,to report,N4
続く,つづく,to be continued,N4
続ける,つづける,to continue,N4
包む,つつむ,to wrap,N4
妻,つま,(humble) wife,N4
,つもり,intention,N4
釣る,つる,to fish,N4
連れる,つれる,to lead,N4
丁寧,ていねい,polite,N4
,テキスト,"text,text book",N4
適当,てきとう,suitability,N4
,できるだけ,as much as possible,N4
手伝う,てつだう,to assist,N4
,テニス,tennis,N4
手袋,てぶくろ,glove,N4
寺,てら,temple,N4
点,てん,"point,dot",N4
店員,てんいん,shop assistant,N4
天気予報,てんきよほう,weather forecast,N4
電灯,でんとう,electric light,N4
電報,でんぽう,telegram,N4
展覧会,てんらんかい,exhibition,N4
都,と,metropolitan,N4
道具,どうぐ,"tool,means",N4
,とうとう,"finally, after all",N4
動物園,どうぶつえん,zoo,N4
遠く,とおく,distant,N4
通る,とおる,to go through,N4
特に,とくに,"particularly,especially",N4
特別,とくべつ,special,N4
,とこや,barber,N4
途中,とちゅう,on the way,N4
特急,とっきゅう,limited express train (faster than an express train),N4
届ける,とどける,to reach,N4
泊まる,とまる,to lodge at,N4
止める,とめる,to stop something,N4
取り替える,とりかえる,to exchange,N4
泥棒,どろぼう,thief,N4
,どんどん,more and more,N4
直す,なおす,"to fix,to repair",N4
直る,なおる,"to be fixed,to be repaired",N4
治る,なおる,"to be cured,to heal",N4
中々,なかなか,considerably,N4
泣く,なく,to weep,N4
無くなる,なくなる,"to disappear,to get lost",N4
亡くなる,なくなる,to die,N4
投げる,なげる,to throw or cast away,N4
,なさる,(respectful) to do,N4
鳴る,なる,to sound,N4
,なるべく,as much as possible,N4
,なるほど,now I understand,N4
慣れる,なれる,to grow accustomed to,N4
,におい,a smell,N4
苦い,にがい,bitter,N4
二階建て,にかいだて,two storied,N4
逃げる,にげる,to escape,N4
日記,にっき,journal,N4
入院,にゅういん・する,to hospitalise,N4
入学,にゅうがく・する,to enter school or university,N4
似る,にる,to be similar,N4
人形,にんぎょう,"doll, figure",N4
盗む,ぬすむ,to steal,N4
塗る,ぬる,"to paint,to plaster",N4
,ぬれる,to get wet,N4
,ねだん,price,N4
熱,ねつ,fever,N4
,ねっしん,enthusiasm,N4
寝坊,ねぼう,sleeping in late,N4
眠い,ねむい,sleepy,N4
眠る,ねむる,to sleep,N4
残る,のこる,to remain,N4
,のど,throat,N4
乗り換える,のりかえる,to change between buses or trains,N4
乗り物,のりもの,vehicle,N4
葉,は,leaf,N4
場合,ばあい,situation,N4
,パート,part time,N4
倍,ばい,double,N4
拝見,はいけん・する,(humble) to look at,N4
歯医者,はいしゃ,dentist,N4
運ぶ,はこぶ,to transport,N4
始める,はじめる,to begin,N4
場所,ばしょ,location,N4
,はず,it should be so,N4
恥ずかしい,はずかしい,embarrassed,N4
,パソコン,personal computer,N4
発音,はつおん,pronunciation,N4
,はっきり,clearly,N4
花見,はなみ,cherry-blossom viewing,N4
林,はやし,"woods,forester",N4
払う,はらう,to pay,N4
番組,ばんぐみ,television or radio program,N4
反対,はんたい,opposition,N4
,ハンドバッグ,handbag　,N4
日,ひ,"day, sun",N4
火,ひ,fire,N4
,ピアノ,piano,N4
冷える,ひえる,to grow cold,N4
光,ひかり,light,N4
光る,ひかる,"to shine,to glitter",N4
引き出し,ひきだし,"drawer,drawing out",N4
引き出す,ひきだす,to withdraw,N4
,ひげ,beard,N4
飛行場,ひこうじょう,airport,N4
久しぶり,ひさしぶり,after a long time,N4
美術館,びじゅつかん,art gallery,N4
非常に,ひじょうに,extremely,N4
,びっくり・する,to be surprised,N4
引っ越す,ひっこす,to move house,N4
必要,ひつよう,necessary,N4
,ひどい,awful,N4
開く,ひらく,to open an event,N4
,ビル,building or bill,N4
昼間,ひるま,"daytime,during the day",N4
昼休み,ひるやすみ,noon break,N4
拾う,ひろう,"to pick up,to gather",N4
,ファックス,fax,N4
増える,ふえる,to increase,N4
深い,ふかい,deep,N4
複雑,ふくざつ,"complexity,complication",N4
復習,ふくしゅう,revision,N4
部長,ぶちょう,head of a section,N4
普通,ふつう,"usually, or a train that stops at every station",N4
,ぶどう,grapes,N4
太る,ふとる,to become fat,N4
布団,ふとん,"Japanese bedding, futon",N4
舟,ふね,ship,N4
不便,ふべん,inconvenience,N4
踏む,ふむ,to step on,N4
降り出す,ふりだす,to start to rain,N4
,プレゼント,present,N4
文化,ぶんか,culture,N4
文学,ぶんがく,literature,N4
文法,ぶんぽう,grammar,N4
別,べつ,different,N4
,ベル,bell,N4
変,へん,strange,N4
返事,へんじ,reply,N4
貿易,ぼうえき,trade,N4
放送,ほうそう・する,to broadcast,N4
法律,ほうりつ,law,N4
僕,ぼく,I (used by males),N4
星,ほし,star,N4
,ほど,extent,N4
,ほとんど,mostly,N4
,ほめる,to praise,N4
翻訳,ほんやく,translation,N4
参る,まいる,"(humble) to go,to come",N4
負ける,まける,to lose,N4
,まじめ,serious,N4
,まず,first of all,N4
,または,"or,otherwise",N4
間違える,まちがえる,to make a mistake,N4
間に合う,まにあう,to be in time for,N4
周り,まわり,surroundings,N4
回る,まわる,to go around,N4
漫画,まんが,comic,N4
真中,まんなか,middle,N4
見える,みえる,to be in sight,N4
湖,みずうみ,lake,N4
味噌,みそ,bean paste,N4
見つかる,みつかる,to be discovered,N4
見つける,みつける,to discover,N4
皆,みな,everybody,N4
港,みなと,harbour,N4
向かう,むかう,to face,N4
迎える,むかえる,to go out to meet,N4
昔,むかし,"olden days, former",N4
虫,むし,insect,N4
息子,むすこ,(humble) son,N4
娘,むすめ,(humble) daughter,N4
無理,むり,impossible,N4
召し上がる,めしあがる,(polite) to eat,N4
珍しい,めずらしい,rare,N4
申し上げる,もうしあげる,"(humble) to say,to tell",N4
申す,もうす,"(humble) to be called,to say",N4
,もうすぐ,soon,N4
,もし,if,N4
,もちろん,of course,N4
,もっとも,extremely,N4
戻る,もどる,to turn back,N4
木綿,もめん,cotton,N4
,もらう,to receive,N4
森,もり,forest,N4
焼く,やく,"to bake,to grill",N4
約束,やくそく,promise,N4
役に立つ,やくにたつ,to be helpful,N4
焼ける,やける,"to burn,to be roasted",N4
優しい,やさしい,kind,N4
痩せる,やせる,to become thin,N4
,やっと,at last,N4
,やはり/やっぱり,"as I thought,absolutely",N4
止む,やむ,to stop,N4
止める,やめる,to stop,N4
柔らかい,やわらかい,soft,N4
湯,ゆ,hot water,N4
輸出,ゆしゅつ・する,to export,N4
輸入,ゆにゅう・する,to import,N4
指,ゆび,finger,N4
指輪,ゆびわ,finger ring,N4
夢,ゆめ,dream,N4
揺れる,ゆれる,"to shake,to sway",N4
用,よう,use,N4
用意,ようい,preparation,N4
用事,ようじ,things to do,N4
汚れる,よごれる,to get dirty,N4
予習,よしゅう,preparation for a lesson,N4
予定,よてい,arrangement,N4
予約,よやく,reservation,N4
寄る,よる,to visit,N4
喜ぶ,よろこぶ,to be delighted,N4
,よろしい,"(respectful) OK,all right",N4
理由,りゆう,reason,N4
利用,りよう,utilization,N4
両方,りょうほう,both sides,N4
旅館,りょかん,Japanese hotel,N4
留守,るす,absence,N4
冷房,れいぼう,air conditioning,N4
歴史,れきし,history,N4
,レジ,register,N4
,レポート/リポート,report,N4
連絡,れんらく,contact,N4
,ワープロ,word processor,N4
沸かす,わかす,"to boil,to heat",N4
別れる,わかれる,to separate,N4
沸く,わく,"to boil, to grow hot,to get excited",N4
訳,わけ,"meaning,reason",N4
忘れ物,わすれもの,lost article,N4
笑う,わらう,"to laugh,to smile",N4
割合,わりあい,"rate,ratio,percentage",N4
割れる,われる,to break,N4
泳ぎ方,およぎかた,way of swimming,N4
会う,あう,to meet,N5
青,あお,blue,N5
青い,あおい,blue,N5
赤,あか,red,N5
赤い,あかい,red,N5
明い,あかるい,bright,N5
秋,あき,autumn,N5
開く,あく,"to open, to become open",N5
開ける,あける,to open,N5
上げる,あげる,to give,N5
朝,あさ,morning,N5
朝御飯,あさごはん,breakfast,N5
,あさって,day after tomorrow,N5
足,あし,"foot, leg",N5
明日,あした,tomorrow,N5
,あそこ,over there,N5
遊ぶ,あそぶ,"to play, to make a visit",N5
暖かい,あたたかい,warm,N5
頭,あたま,head,N5
新しい,あたらしい,new,N5
,あちら,there,N5
暑い,あつい,hot,N5
熱い,あつい,hot to the touch,N5
厚い,あつい,"kind, deep, thick",N5
,あっち,over there,N5
後,あと,afterwards,N5
,あなた,you,N5
兄,あに,(humble) older brother,N5
姉,あね,(humble) older sister,N5
,あの,that over there,N5
,あの,um...,N5
,アパート,apartment,N5
,あびる,"to bathe, to shower",N5
危ない,あぶない,dangerous,N5
甘い,あまい,sweet,N5
,あまり,not very,N5
雨,あめ,rain,N5
飴,あめ,candy,N5
洗う,あらう,to wash,N5
,ある,"to be,to have (used for inanimate objects)",N5
歩く,あるく,to walk,N5
,あれ,that,N5
,いい/よい,good,N5
,いいえ,no,N5
言う,いう,to say,N5
家,いえ,house,N5
,いかが,how,N5
行く,いく,to go,N5
,いくつ,"how many?,how old?",N5
,いくら,how much?,N5
池,いけ,pond,N5
医者,いしゃ,medical doctor,N5
,いす,chair,N5
忙しい,いそがしい,"busy, irritated",N5
痛い,いたい,painful,N5
一,いち,one,N5
一日,いちにち,first of the month,N5
,いちばん,"best, first",N5
,いつ,when,N5
五日,いつか,"five days, fifth day",N5
一緒,いっしょ,together,N5
五つ,いつつ,five,N5
,いつも,always,N5
犬,いぬ,dog,N5
今,いま,now,N5
意味,いみ,meaning,N5
妹,いもうと,(humble) younger sister,N5
嫌,いや,unpleasant,N5
入口,いりぐち,entrance,N5
居る,いる,"to be, to have (used for people and animals)",N5
要る,いる,to need,N5
入れる,いれる,to put in,N5
色,いろ,colour,N5
,いろいろ,various,N5
上,うえ,on top of,N5
後ろ,うしろ,behind,N5
薄い,うすい,"thin,weak",N5
歌,うた,song,N5
歌う,うたう,to sing,N5
生まれる,うまれる,to be born,N5
海,うみ,sea,N5
売る,うる,to sell,N5
煩い,うるさい,"noisy, annoying",N5
上着,うわぎ,jacket,N5
絵,え,picture,N5
映画,えいが,movie,N5
映画館,えいがかん,cinema,N5
英語,えいご,English language,N5
,ええ,yes,N5
駅,えき,station,N5
,エレベーター,elevator,N5
鉛筆,えんぴつ,pencil,N5
,おいしい,delicious,N5
